num_tokens,per_layer_ms,total_ms
64,0.4185526406764984,13.393684501647948
128,0.5217548823356628,16.69615623474121
192,0.6371311980485916,20.388198337554932
256,0.6527491182088851,20.887971782684325
384,0.8603712016344071,27.531878452301026
512,1.1227139151096344,35.9268452835083
768,1.561451836824417,49.966458778381345
1024,2.096246087551117,67.07987480163574
1536,3.05514399766922,97.76460792541504
2048,3.92368479013443,125.55791328430176
3072,5.89501184463501,188.64037902832033
4096,7.739580135345459,247.6665643310547
